Bulan,Tanggal,Jumlah PO,Jumlah Nominal,PPh 22,PPN,Jumlah Pajak,,,,
Januari,1/1/2024,26,42064500,196291,2806500,3002791,,,,
Januari,1/2/2024,493,2664351728,12192319,225891797,238084116,,,,
Januari,1/3/2024,227,1665022129,7551491,154725584,162277075,,,,
Januari,1/4/2024,204,998061145,4556002,86860655,91416657,,,,
Januari,1/5/2024,181,1018295333,4629467,92402578,97032045,,,,
Januari,1/6/2024,21,40850085,192149,2420730,2612879,,,,
Januari,1/7/2024,45,137314800,624797,12355264,12980061,,,,
Januari,1/8/2024,150,970965706,4440128,82941189,87381317,,,,
Januari,1/9/2024,107,253601818,1178952,17813116,18992068,,,,
Januari,1/10/2024,117,442593991,2040587,34476731,36517318,,,,
Januari,1/11/2024,68,407919396,1845556,38808312,40653868,,,,
Januari,1/12/2024,70,304669314,1394111,25847907,27242018,,,,
Januari,1/13/2024,37,114617600,517187,11180025,11697212,,,,
Januari,1/14/2024,4,5206500,23983,410024,434007,,,,
Januari,1/15/2024,157,503292788,2297155,43862356,46159511,,,,
Januari,1/16/2024,75,130595140,609423,8711770,9321193,,,,
Januari,1/17/2024,55,219359538,1026615,14036827,15063442,,,,
Januari,1/18/2024,70,305112620,1431031,18907109,20338140,,,,
Januari,1/19/2024,167,721233630,3293362,62561616,65854978,,,,
Januari,1/20/2024,17,42964885,200950,2774981,2975931,,,,
Januari,1/21/2024,10,45425980,207744,3877191,4084935,,,,
Januari,1/22/2024,271,1646014382,7650168,115982568,123632736,,,,
Januari,1/23/2024,1.287,6905223741,31582950,588641469,620224419,,,,
Januari,1/24/2024,2.587,13550142378,62034770,1143203665,1205238435,,,,
Januari,1/25/2024,3.76,19906808270,91309566,1644914941,1736224507,,,,
Januari,1/26/2024,4.431,24590654581,112726427,2045383911,2158110338,,,,
Januari,1/27/2024,282,1066589115,4822545,102082313,106904858,,,,
Januari,1/28/2024,97,288854073,1304565,27941436,29246001,,,,
Januari,1/29/2024,6.247,27653762835,126687554,2316278665,2442966219,,,,
Januari,1/30/2024,7.377,32587609945,149046532,2778331502,2927378034,,,,
Januari,1/31/2024,7.534,26495921653,121378441,2220273256,2341651697,,,,
Februari,2/1/2024,3.455,17126914953,78863498,1354230527,1433094025,,,,
Februari,2/2/2024,3.872,22429946614,102988113,1832339563,1935327676,,,,
Februari,2/3/2024,336,1276349592,5776306,121088862,126865168,,,,
Februari,2/4/2024,101,487367185,2273184,32731674,35004858,,,,
Februari,2/5/2024,6.23,32400198907,148929890,2614257293,2763187183,,,,
Februari,2/6/2024,7.209,40078070428,183765916,3324929485,3508695401,,,,
Februari,2/7/2024,8.207,42130100744,193288489,3472454198,3665742687,,,,
Februari,2/8/2024,251,1044391035,4857530,72888312,77745842,,,,
Februari,2/9/2024,219,1030380519,4722273,85926226,90648499,,,,
Februari,2/10/2024,129,310137050,1440829,21971112,23411941,,,,
Februari,2/11/2024,79,281103048,1295595,21983601,23279196,,,,
Februari,2/12/2024,9.569,47879839728,219897112,3900471516,4120368628,,,,
Februari,2/13/2024,10.232,51934406746,238732620,4187942410,4426675030,,,,
Februari,2/14/2024,92,409852508,1888788,32096307,33985095,,,,
Februari,2/15/2024,7.047,35016929172,161230356,2770895634,2932125990,,,,
Februari,2/16/2024,8.147,39427606849,180741748,3279304406,3460046154,,,,
Februari,2/17/2024,391,1370411820,6329833,104445843,110775676,,,,
Februari,2/18/2024,75,247564406,1175781,12408592,13584373,,,,
Februari,2/19/2024,10.531,46352140389,213387384,3674715521,3888102905,,,,
Februari,2/20/2024,10.231,47053380732,216412288,3770990870,3987403158,,,,
