waktu,provinsi,kab_kota,jumlah_merchant
2024-01-01,Prov. Banten,Kab. Pandeglang,1.0
2024-01-01,Prov. Sumatera Barat,Kab. Pesisir Selatan,1.0
2024-01-01,Prov. Sumatera Barat,Kab. Pasaman Barat,1.0
2024-01-01,Prov. Kalimantan Barat,Kab. Kuburaya,1.0
2024-01-01,Prov. Kalimantan Barat,Kab. Kapuas Hulu,1.0
2024-01-01,Prov. Jawa Timur,Kota Surabaya,1.0
2024-01-01,Prov. Jawa Timur,Kab. Pamekasan,1.0
2024-01-01,Prov. Jawa Timur,Kab. Nganjuk,1.0
2024-01-01,Prov. Jawa Timur,Kab. Kediri,1.0
2024-01-01,Prov. Sumatera Utara,Kab. Batubara,1.0
2024-01-01,Prov. Jawa Tengah,Kab. Kebumen,2.0
2024-01-01,Prov. Jawa Tengah,Kab. Jepara,1.0
2024-01-01,Prov. Jawa Tengah,Kab. Cilacap,1.0
2024-01-01,Prov. Jawa Barat,Kota Bekasi,1.0
2024-01-01,Prov. Jawa Barat,Kab. Sukabumi,1.0
2024-01-01,Prov. Jawa Barat,Kab. Bandung,1.0
2024-01-01,Prov. Banten,Kota Tangerang,1.0
2024-01-01,Prov. Jawa Tengah,Kab. Pati,1.0
2024-01-02,Prov. Jawa Timur,Kab. Sidoarjo,3.0
2024-01-02,Prov. Jawa Timur,Kab. Situbondo,1.0
2024-01-02,Prov. Jawa Timur,Kota Probolinggo,1.0
2024-01-02,Prov. Kalimantan Barat,Kota Pontianak,1.0
2024-01-02,Prov. Kalimantan Selatan,Kota Banjarmasin,1.0
2024-01-02,Prov. Kepulauan Bangka Belitung,Kab. Bangka Barat,1.0
2024-01-02,Prov. Lampung,Kota Metro,1.0
2024-01-02,Prov. Nusa Tenggara Barat,Kab. Lombok Barat,1.0
2024-01-02,Prov. Sumatera Selatan,Kab. Banyuasin,1.0
2024-01-02,Prov. Sulawesi Selatan,Kab. Pinrang,1.0
2024-01-02,Prov. Sumatera Barat,Kota Padang,2.0
2024-01-02,Prov. Sumatera Selatan,Kota Palembang,3.0
2024-01-02,Prov. Sumatera Utara,Kab. Asahan,1.0
2024-01-02,Prov. Sumatera Utara,Kab. Humbang Hasudutan,1.0
2024-01-02,Prov. Sumatera Utara,Kota Tanjung Balai,1.0
2024-01-02,Prov. Jawa Timur,Kab. Mojokerto,1.0
2024-01-02,Prov. Sulawesi Selatan,Kab. Bone,2.0
2024-01-02,Prov. Jawa Timur,Kab. Malang,1.0
2024-01-02,Prov. Jawa Timur,Kab. Lumajang,1.0
2024-01-02,Prov. Bali,Kota Denpasar,1.0
2024-01-02,Prov. Jawa Timur,Kab. Kediri,2.0
2024-01-02,Prov. Banten,Kab. Lebak,1.0
2024-01-02,Prov. Bengkulu,Kota Bengkulu,1.0
2024-01-02,Prov. D.I. Yogyakarta,Kota Yogyakarta,1.0
2024-01-02,Prov. D.K.I. Jakarta,Kota Jakarta Timur,1.0
2024-01-02,Prov. Jawa Barat,Kab. Bogor,6.0
2024-01-02,Prov. Jawa Barat,Kab. Pangandaran,1.0
2024-01-02,Prov. Jawa Barat,Kab. Subang,1.0
2024-01-02,Prov. Jambi,Kab. Tanjung Jabung Timur,1.0
2024-01-02,Prov. Jawa Tengah,Kab. Jepara,1.0
2024-01-02,Prov. Jawa Tengah,Kab. Demak,1.0
2024-01-02,Prov. Jawa Tengah,Kota Tegal,1.0
2024-01-02,Prov. Jawa Tengah,Kota Semarang,1.0
2024-01-02,Prov. Jawa Tengah,Kab. Purworejo,1.0
2024-01-02,Prov. Jawa Timur,Kab. Jember,1.0
2024-01-02,Prov. Jawa Tengah,Kab. Kebumen,1.0
2024-01-02,Prov. Jawa Tengah,Kab. Karanganyar,2.0
2024-01-02,Prov. Jawa Tengah,Kab. Kudus,1.0
2024-01-03,Prov. Jawa Timur,Kab. Trenggalek,1.0
2024-01-03,Prov. Jawa Tengah,Kab. Magelang,1.0
2024-01-03,Prov. Jawa Tengah,Kab. Semarang,1.0
2024-01-03,Prov. Jawa Tengah,Kab. Tegal,1.0
2024-01-03,Prov. Jawa Tengah,Kota Tegal,2.0
2024-01-03,Prov. Jawa Timur,Kab. Kediri,1.0
2024-01-03,Prov. Jawa Timur,Kab. Sidoarjo,1.0
2024-01-03,Prov. Jawa Timur,Kab. Tuban,2.0
2024-01-03,Prov. Jawa Tengah,Kab. Kebumen,3.0
2024-01-03,Prov. Jawa Timur,Kota Surabaya,2.0
2024-01-03,Prov. Kalimantan Selatan,Kab. Tabalong,1.0
2024-01-03,Prov. Kalimantan Selatan,Kab. Tanah Bumbu,1.0
2024-01-03,Prov. Kalimantan Selatan,Kota Banjarmasin,1.0
2024-01-03,Prov. Kalimantan Utara,Kota Tarakan,1.0
2024-01-03,Prov. Sulawesi Selatan,Kab. Pinrang,1.0
2024-01-03,Prov. Sumatera Barat,Kab. Solok,1.0
2024-01-03,Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,1.0
2024-01-03,Prov. Jawa Timur,Kota Madiun,1.0
2024-01-03,Prov. Jawa Tengah,Kab. Jepara,2.0
2024-01-03,Prov. Jawa Barat,Kota Bogor,1.0
2024-01-03,Prov. Jawa Tengah,Kab. Banjarnegara,1.0
